Sr. no,Date,Open,High,Low,Close,Volume
830,2023-04-21T09:40:00+0530,1670.85,1672.3,1668,1668.45,334270
831,2023-04-21T09:45:00+0530,1668.5,1671.9,1667.7,1671.5,278849
832,2023-04-21T09:50:00+0530,1671.6,1671.6,1668.3,1669.5,161697
833,2023-04-21T09:55:00+0530,1669.5,1670,1667.5,1668.2,100454
834,2023-04-21T10:00:00+0530,1668.45,1669,1666.5,1667.05,153957
835,2023-04-21T10:05:00+0530,1666.9,1668.4,1666.25,1666.75,87972
836,2023-04-21T10:10:00+0530,1666.75,1667.8,1665.15,1667.4,139258
837,2023-04-21T10:15:00+0530,1667.4,1668.2,1665.35,1666.35,236863
838,2023-04-21T10:20:00+0530,1666.55,1668,1665.45,1667.15,118577
839,2023-04-21T10:25:00+0530,1667.15,1667.15,1665.35,1667,130259
840,2023-04-21T10:30:00+0530,1667,1668.9,1666.7,1668.9,64993
841,2023-04-21T10:35:00+0530,1668.9,1669.7,1666.15,1666.25,144682
842,2023-04-21T10:40:00+0530,1666.4,1666.6,1665.3,1665.3,213574
843,2023-04-21T10:45:00+0530,1665.3,1665.45,1663.6,1664,199640
844,2023-04-21T10:50:00+0530,1664.2,1666.6,1663.35,1666.05,175321
845,2023-04-21T10:55:00+0530,1666.05,1667.8,1664.95,1667,181713
846,2023-04-21T11:00:00+0530,1667,1667.2,1666,1666.4,57605
847,2023-04-21T11:05:00+0530,1666.4,1667.5,1665.75,1666,52175
848,2023-04-21T11:10:00+0530,1666,1666.95,1665.05,1666.8,178752
849,2023-04-21T11:15:00+0530,1666.8,1666.9,1666.25,1666.35,45847
850,2023-04-21T11:20:00+0530,1666.35,1666.5,1665.05,1666.35,207318
851,2023-04-21T11:25:00+0530,1666.5,1668.05,1666.2,1668.05,128533
852,2023-04-21T11:30:00+0530,1668.1,1669.15,1667.55,1668.1,134301
853,2023-04-21T11:35:00+0530,1668.05,1669,1668,1668.8,34743
854,2023-04-21T11:40:00+0530,1668.8,1670.2,1668.75,1669.8,59183
855,2023-04-21T11:45:00+0530,1669.8,1670.3,1669.3,1669.5,16686
856,2023-04-21T11:50:00+0530,1669.5,1670,1669,1669.9,17935
857,2023-04-21T11:55:00+0530,1669.9,1670,1669.55,1669.65,21681
858,2023-04-21T12:00:00+0530,1669.65,1669.65,1667.7,1669,24155
859,2023-04-21T12:05:00+0530,1669,1669.35,1667.7,1668.05,15093
860,2023-04-21T12:10:00+0530,1668.05,1669.75,1665.6,1668.25,298789
861,2023-04-21T12:15:00+0530,1668.25,1670.45,1665.75,1668.45,226818
862,2023-04-21T12:20:00+0530,1668.3,1668.85,1667.65,1668.65,29295
863,2023-04-21T12:25:00+0530,1668.5,1669.25,1667.6,1667.6,34846
864,2023-04-21T12:30:00+0530,1667.7,1669.5,1667.25,1668.4,110580
865,2023-04-21T12:35:00+0530,1668.4,1668.9,1668.3,1668.3,13653
866,2023-04-21T12:40:00+0530,1668.3,1669.7,1668.25,1668.9,18587
867,2023-04-21T12:45:00+0530,1668.9,1669.25,1667.7,1668.1,52848
868,2023-04-21T12:50:00+0530,1668.1,1668.2,1667,1667.7,58588
869,2023-04-21T12:55:00+0530,1667.45,1669,1666.5,1666.5,151355
870,2023-04-21T13:00:00+0530,1666.55,1667.25,1665.5,1666.7,61587
871,2023-04-21T13:05:00+0530,1666.65,1666.65,1665,1666.05,45935
872,2023-04-21T13:10:00+0530,1666.1,1666.2,1665,1665.45,23897
873,2023-04-21T13:15:00+0530,1665.75,1666.9,1665.4,1666.05,25524
874,2023-04-21T13:20:00+0530,1666.05,1667,1665.85,1666.5,27533
875,2023-04-21T13:25:00+0530,1666.5,1668.4,1666.5,1668,46535
876,2023-04-21T13:30:00+0530,1668.25,1669,1667.35,1668.3,30655
877,2023-04-21T13:35:00+0530,1668.35,1669.75,1667.7,1669.6,40327
878,2023-04-21T13:40:00+0530,1669.6,1670.6,1668,1668.05,108368
879,2023-04-21T13:45:00+0530,1668.05,1670.05,1667.7,1670.05,42413
880,2023-04-21T13:50:00+0530,1670,1672,1668.95,1671.6,201683
881,2023-04-21T13:55:00+0530,1671.55,1672.4,1669.85,1670.35,185625
882,2023-04-21T14:00:00+0530,1670.4,1672.3,1670.05,1671.55,192545
883,2023-04-21T14:05:00+0530,1671.7,1671.95,1669.35,1670.9,140935
884,2023-04-21T14:10:00+0530,1670.9,1671.65,1669.35,1670.6,89644
885,2023-04-21T14:15:00+0530,1670.6,1670.9,1670.2,1670.25,21315
886,2023-04-21T14:20:00+0530,1670.45,1671.95,1669.6,1671.6,208821
